ville,date_extraction,date_observation,temperature,temp_min,temp_max,humidite,pression,vent_vitesse,vent_direction,precipitation,description,latitude,longitude
London,2025-07-02,2021-01-01,2.0,-0.5,5.0,91.0,1011.4,10.1,303.6,0.002,"Rain, Overcast",51.5064,-0.12721
London,2025-07-02,2021-01-02,3.7,1.5,5.1,82.5,1015.8,11.9,345.5,0.603,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-01-03,3.8,1.1,6.0,86.0,1017.4,16.9,32.4,1.985,"Rain, Overcast",51.5064,-0.12721
London,2025-07-02,2021-01-04,4.2,3.5,5.6,81.4,1019.2,25.8,37.1,0.21,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-01-05,3.7,2.5,4.6,82.4,1019.9,21.2,27.2,0.994,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-01-06,4.0,2.0,5.6,83.0,1019.4,17.5,24.2,0.435,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-01-07,1.0,-1.0,3.1,87.5,1018.4,12.6,294.3,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-01-08,0.6,-1.0,2.5,90.4,1018.5,11.1,48.6,0.0,Overcast,51.5064,-0.12721
London,2025-07-02,2021-01-09,1.1,-1.2,4.5,89.3,1026.2,9.8,352.8,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-01-10,1.0,-1.7,3.6,92.8,1025.9,11.3,264.1,0.0,Overcast,51.5064,-0.12721
London,2025-07-02,2021-01-11,6.7,3.6,9.0,83.9,1017.8,33.2,253.0,0.0,Overcast,51.5064,-0.12721
London,2025-07-02,2021-01-12,6.8,2.5,9.5,85.9,1014.0,27.7,289.4,7.99,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-01-13,6.1,1.1,9.6,95.2,1018.3,19.0,256.4,1.995,"Rain, Overcast",51.5064,-0.12721
London,2025-07-02,2021-01-14,5.0,2.6,9.1,94.3,1016.5,16.0,41.3,27.515,"Rain, Overcast",51.5064,-0.12721
London,2025-07-02,2021-01-15,2.4,1.1,4.1,86.3,1029.6,13.2,357.5,0.398,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-01-16,4.9,1.6,7.2,87.8,1020.0,22.4,214.3,5.017,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-01-17,5.7,3.1,8.0,78.3,1023.4,19.6,287.4,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-01-18,5.3,2.5,8.6,88.3,1021.2,24.9,223.8,0.001,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-01-19,10.6,9.1,11.6,85.6,1004.1,31.7,227.4,0.009,"Rain, Overcast",51.5064,-0.12721
London,2025-07-02,2021-01-20,10.2,9.3,10.6,86.8,987.5,34.8,202.2,0.434,"Rain, Overcast",51.5064,-0.12721
London,2025-07-02,2021-01-21,6.6,4.3,8.8,74.7,984.6,39.4,241.7,3.018,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-01-22,4.0,0.5,7.1,82.9,992.1,16.2,247.8,0.001,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-01-23,2.1,-0.2,4.5,86.5,995.5,15.3,289.7,0.599,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-01-24,0.6,-2.0,2.0,91.0,996.9,13.9,328.4,2.993,"Snow, Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-01-25,1.7,-1.2,5.1,78.2,1009.5,17.6,292.5,0.201,Rain,51.5064,-0.12721
London,2025-07-02,2021-01-26,3.0,-0.5,6.6,89.5,1015.8,21.9,205.7,0.602,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-01-27,8.3,6.6,9.6,95.3,1011.0,12.2,244.1,1.201,"Rain, Overcast",51.5064,-0.12721
London,2025-07-02,2021-01-28,10.9,8.6,13.0,89.7,1001.5,29.8,242.5,18.561,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-01-29,9.5,7.2,11.1,84.9,998.3,28.9,262.1,11.984,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-01-30,5.4,3.6,8.0,88.9,997.7,28.1,80.5,12.601,"Rain, Overcast",51.5064,-0.12721
London,2025-07-02,2021-01-31,3.1,1.6,4.1,80.5,997.8,19.8,75.7,1.001,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-02-01,4.1,3.6,4.6,88.3,996.8,11.6,19.2,0.4,"Rain, Overcast",51.5064,-0.12721
London,2025-07-02,2021-02-02,9.2,4.0,13.1,87.4,994.6,24.3,208.6,5.589,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-02-03,8.6,6.1,10.5,81.9,996.5,23.0,247.8,1.008,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-02-04,7.0,4.0,9.1,92.7,1008.2,15.0,155.2,3.994,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-02-05,8.3,6.5,11.1,85.4,1008.1,15.7,195.8,7.984,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-02-06,6.8,5.0,8.1,88.7,1006.6,18.6,27.5,2.192,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-02-07,1.8,-0.5,4.5,82.8,1004.1,26.7,29.8,7.783,"Snow, Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-02-08,-0.8,-1.5,-0.2,79.4,1003.5,26.6,41.1,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-02-09,-0.1,-1.0,0.6,78.6,1006.8,22.7,71.7,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-02-10,0.3,-1.7,2.0,69.0,1015.8,17.8,47.9,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-02-11,-0.9,-2.9,0.3,74.9,1027.0,26.3,97.7,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-02-12,-0.5,-1.4,1.0,62.9,1030.5,36.0,91.0,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-02-13,-0.9,-4.0,1.6,56.4,1032.4,24.6,123.5,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-02-14,2.9,1.1,4.6,59.9,1025.6,24.5,159.0,0.598,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-02-15,8.7,4.6,12.6,87.5,1018.1,20.5,199.1,3.003,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-02-16,9.5,7.6,10.5,85.4,1009.9,23.7,208.8,1.207,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-02-17,9.9,7.6,11.5,85.2,1009.8,27.7,207.4,0.407,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-02-18,8.9,6.0,11.1,73.0,1003.7,27.4,213.1,1.011,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-02-19,8.8,5.5,12.0,79.7,1008.1,27.2,183.3,0.3,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-02-20,13.4,11.6,15.5,63.3,1003.3,24.1,182.0,0.3,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-02-21,12.0,10.5,14.1,74.8,1008.3,20.1,179.5,0.001,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-02-22,9.9,8.1,11.5,86.3,1014.7,13.0,209.7,0.799,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-02-23,10.7,6.1,14.0,74.2,1022.9,34.0,200.3,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-02-24,13.3,11.5,16.0,67.4,1022.3,26.1,198.4,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-02-25,10.7,8.0,13.0,71.2,1026.6,21.2,265.0,0.198,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-02-26,7.2,1.6,12.6,68.3,1037.1,12.3,314.1,0.0,Clear,51.5064,-0.12721
London,2025-07-02,2021-02-27,7.0,2.0,13.0,76.0,1040.8,10.7,56.6,0.001,Rain,51.5064,-0.12721
London,2025-07-02,2021-02-28,6.3,4.0,10.0,82.4,1037.0,16.0,65.6,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-03-01,6.4,4.6,10.1,82.5,1031.8,18.1,73.3,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-03-02,5.8,4.5,9.0,84.6,1029.8,11.9,53.6,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-03-03,5.9,4.1,8.1,93.1,1027.5,8.4,77.7,8.961,"Rain, Overcast",51.5064,-0.12721
London,2025-07-02,2021-03-04,5.4,4.5,6.2,84.2,1024.9,14.8,28.8,2.0,"Rain, Overcast",51.5064,-0.12721
London,2025-07-02,2021-03-05,4.8,2.5,6.5,63.4,1031.6,19.7,47.2,0.001,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-03-06,4.5,3.0,6.1,68.5,1033.6,14.6,58.7,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-03-07,3.9,1.6,6.6,60.6,1027.5,10.3,23.6,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-03-08,5.2,0.0,10.0,70.4,1023.7,11.2,257.4,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-03-09,7.8,3.1,13.6,64.6,1020.0,20.1,261.2,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-03-10,8.1,6.6,11.1,84.0,1007.4,32.9,210.1,1.006,"Rain, Overcast",51.5064,-0.12721
London,2025-07-02,2021-03-11,9.9,6.0,12.1,66.5,996.3,44.2,248.3,0.632,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-03-12,7.7,5.0,11.1,72.7,1002.1,35.2,240.4,2.003,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-03-13,7.2,4.6,10.6,68.0,995.7,41.0,261.1,4.8,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-03-14,8.0,5.1,10.6,73.3,1012.9,27.1,278.0,0.202,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-03-15,9.6,8.1,11.0,71.3,1020.3,21.6,318.5,0.8,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-03-16,10.1,7.5,14.5,74.6,1027.4,23.5,328.6,0.2,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-03-17,7.8,4.5,10.1,72.9,1033.0,16.3,352.2,1.994,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-03-18,7.9,5.5,9.6,80.1,1028.7,25.1,352.6,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-03-19,8.2,6.1,11.1,68.7,1028.0,20.2,40.0,0.402,"Rain, Partially cloudy",51.5064,-0.12721
London,2025-07-02,2021-03-20,8.1,5.1,10.6,75.2,1031.0,14.9,317.6,0.0,Partially cloudy,51.5064,-0.12721
London,2025-07-02,2021-03-21,8.8,5.5,11.0,69.0,1028.6,18.7,14.0,0.0,Partially cloudy,51.5064,-0.12721
