ville,date_extraction,date_observation,temperature,temp_min,temp_max,humidite,pression,vent_vitesse,vent_direction,precipitation,description,latitude,longitude
New York,2025-07-01,2021-01-01,2.5,0.8,4.0,67.8,1028.9,15.5,42.1,15.334,"Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-01-02,5.8,2.5,10.8,74.0,1012.4,25.5,310.2,2.385,"Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-01-03,2.5,1.5,3.3,80.7,1017.0,24.1,40.2,5.069,"Snow, Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-01-04,3.6,1.9,6.1,76.6,1014.6,17.3,7.6,0.854,"Snow, Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-01-05,3.8,3.0,5.0,68.7,1013.1,15.2,3.7,0.0,Overcast,40.7146,-74.0071
New York,2025-07-01,2021-01-06,3.0,2.0,4.9,63.7,1015.0,28.8,311.2,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-01-07,1.9,-0.3,5.4,54.9,1018.5,22.8,320.3,0.0,Clear,40.7146,-74.0071
New York,2025-07-01,2021-01-08,0.2,-1.9,3.2,59.2,1015.3,20.5,349.6,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-01-09,-0.2,-3.5,2.5,49.9,1012.2,25.9,355.9,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-01-10,1.5,-1.3,5.3,50.5,1021.8,17.3,342.7,0.0,Clear,40.7146,-74.0071
New York,2025-07-01,2021-01-11,0.5,-1.9,3.0,62.6,1024.9,10.7,343.9,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-01-12,3.2,0.4,6.8,55.7,1019.5,12.0,313.5,0.0,Clear,40.7146,-74.0071
New York,2025-07-01,2021-01-13,4.1,2.1,6.3,53.2,1016.0,19.9,255.0,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-01-14,6.2,3.7,9.6,59.6,1010.4,9.8,0.5,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-01-15,5.3,2.8,8.0,80.1,1013.2,21.5,65.6,7.928,"Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-01-16,6.0,3.6,8.2,76.5,998.1,29.9,315.1,21.614,"Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-01-17,4.7,2.3,7.0,53.0,1002.8,29.4,255.5,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-01-18,5.1,3.5,7.1,54.8,1007.5,21.9,264.1,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-01-19,3.4,1.9,6.0,53.6,1017.0,26.5,261.7,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-01-20,1.8,-2.5,4.1,49.5,1014.3,28.4,294.5,0.468,"Snow, Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-01-21,1.3,-2.9,5.9,48.8,1008.5,21.3,236.8,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-01-22,4.9,2.5,7.0,46.3,1006.0,23.7,271.0,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-01-23,-1.0,-4.0,2.5,37.9,1017.1,31.8,301.6,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-01-24,-2.6,-5.4,0.4,38.8,1021.1,31.8,303.7,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-01-25,-0.8,-4.5,3.4,43.3,1019.5,20.0,329.3,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-01-26,0.9,0.0,1.5,66.8,1014.8,17.4,54.3,2.657,"Snow, Rain, Overcast",40.7146,-74.0071
New York,2025-07-01,2021-01-27,1.6,0.1,2.9,69.9,1015.7,21.8,319.7,0.185,"Snow, Rain, Overcast",40.7146,-74.0071
New York,2025-07-01,2021-01-28,-1.8,-6.2,0.8,46.9,1018.5,35.8,315.5,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-01-29,-6.2,-8.9,-3.5,41.7,1019.8,43.3,304.1,0.0,Clear,40.7146,-74.0071
New York,2025-07-01,2021-01-30,-4.4,-8.0,0.4,44.0,1025.0,24.1,303.2,0.0,Clear,40.7146,-74.0071
New York,2025-07-01,2021-01-31,-4.9,-6.5,-2.6,60.7,1025.3,27.5,35.8,1.951,"Snow, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-02-01,-1.6,-5.4,0.6,90.2,1009.9,35.2,39.7,39.943,"Snow, Rain, Overcast",40.7146,-74.0071
New York,2025-07-01,2021-02-02,0.0,-1.1,0.8,84.2,996.9,32.4,353.9,3.299,"Snow, Rain, Overcast",40.7146,-74.0071
New York,2025-07-01,2021-02-03,0.4,-1.5,3.0,66.3,999.6,24.7,310.4,0.265,"Snow, Rain, Overcast",40.7146,-74.0071
New York,2025-07-01,2021-02-04,2.4,-0.5,5.8,52.6,1009.8,22.3,290.5,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-02-05,5.2,2.8,8.2,60.6,1006.1,21.3,223.9,1.838,"Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-02-06,3.9,0.8,6.8,38.1,1015.6,28.3,255.1,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-02-07,0.9,-2.5,3.8,70.3,1014.9,24.6,6.6,8.906,"Snow, Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-02-08,-4.6,-8.1,-1.5,48.2,1027.9,22.6,286.3,0.273,Snow,40.7146,-74.0071
New York,2025-07-01,2021-02-09,-1.2,-2.8,0.5,74.1,1023.9,15.8,12.7,0.067,"Snow, Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-02-10,-0.9,-3.3,1.8,55.2,1025.9,13.0,321.0,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-02-11,-1.8,-3.4,0.1,66.0,1024.6,18.4,11.7,2.96,"Snow, Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-02-12,-3.4,-6.6,-1.2,39.1,1026.8,18.0,6.0,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-02-13,-2.5,-3.9,-1.4,42.3,1025.4,18.4,35.5,0.0,Overcast,40.7146,-74.0071
New York,2025-07-01,2021-02-14,0.1,-2.6,3.0,70.8,1023.4,16.0,15.0,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-02-15,0.6,-0.5,1.5,73.7,1021.8,16.4,26.5,0.485,"Snow, Rain, Overcast",40.7146,-74.0071
New York,2025-07-01,2021-02-16,4.9,1.1,10.8,74.8,1006.1,27.8,273.6,21.826,"Snow, Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-02-17,-1.7,-5.4,1.2,39.1,1026.2,27.7,311.4,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-02-18,-2.5,-4.2,-1.3,69.3,1028.6,22.8,37.8,10.843,"Snow, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-02-19,-0.8,-2.3,0.7,86.8,1019.8,24.1,28.0,3.357,"Snow, Rain, Overcast",40.7146,-74.0071
New York,2025-07-01,2021-02-20,-0.4,-2.6,1.3,57.7,1019.4,23.9,299.9,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-02-21,-0.9,-4.3,2.5,49.2,1031.3,17.7,285.2,0.0,Clear,40.7146,-74.0071
New York,2025-07-01,2021-02-22,1.5,-0.2,3.7,70.6,1017.2,24.7,232.4,13.599,"Snow, Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-02-23,4.6,2.3,7.3,65.0,1005.7,22.4,259.0,0.252,"Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-02-24,7.9,4.2,11.6,52.3,1013.6,22.6,220.9,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-02-25,7.3,4.6,10.0,38.2,1017.4,29.3,293.0,0.0,Clear,40.7146,-74.0071
New York,2025-07-01,2021-02-26,4.3,1.0,7.3,40.9,1029.6,13.6,253.6,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-02-27,6.7,3.5,10.1,80.8,1021.8,16.8,224.8,10.342,"Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-02-28,6.0,5.3,6.9,74.7,1022.5,15.9,70.7,5.85,"Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-03-01,5.8,1.8,8.8,70.6,1006.4,39.4,302.3,4.998,"Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-03-02,-1.9,-5.8,0.5,31.3,1019.6,37.4,294.7,0.0,Clear,40.7146,-74.0071
New York,2025-07-01,2021-03-03,5.5,0.0,10.8,37.5,1012.4,19.6,253.0,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-03-04,4.0,-1.8,6.8,44.1,1010.1,34.4,301.0,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-03-05,-0.7,-4.7,2.6,31.3,1011.8,33.5,294.9,0.0,Clear,40.7146,-74.0071
New York,2025-07-01,2021-03-06,0.1,-1.5,1.2,42.2,1018.0,30.6,300.5,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-03-07,1.0,-1.6,4.7,39.8,1026.0,20.5,307.8,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-03-08,1.8,-3.0,6.4,34.1,1029.6,19.0,298.6,0.0,Clear,40.7146,-74.0071
New York,2025-07-01,2021-03-09,10.8,5.4,17.2,29.0,1026.7,22.1,273.6,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-03-10,8.2,4.8,12.0,57.0,1032.2,18.2,110.2,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-03-11,13.8,7.0,21.4,59.2,1023.1,17.9,183.5,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-03-12,16.6,12.6,19.8,31.8,1017.4,24.9,279.6,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-03-13,6.2,0.8,11.7,24.9,1022.0,35.4,295.0,0.0,Clear,40.7146,-74.0071
New York,2025-07-01,2021-03-14,6.7,0.8,10.9,28.6,1015.9,50.0,295.0,0.0,Partially cloudy,40.7146,-74.0071
New York,2025-07-01,2021-03-15,-0.2,-4.2,3.5,23.1,1025.4,46.2,317.6,0.0,Clear,40.7146,-74.0071
New York,2025-07-01,2021-03-16,0.5,-1.5,2.6,39.9,1025.4,15.3,71.3,0.048,"Rain, Partially cloudy",40.7146,-74.0071
New York,2025-07-01,2021-03-17,4.7,1.2,8.0,71.6,1021.5,14.0,59.0,0.0,Overcast,40.7146,-74.0071
New York,2025-07-01,2021-03-18,7.1,6.4,7.8,85.4,1013.9,27.9,42.3,14.621,"Rain, Overcast",40.7146,-74.0071
New York,2025-07-01,2021-03-19,3.4,-0.3,6.3,37.0,1020.8,34.8,12.2,2.413,"Rain, Partially cloudy",40.7146,-74.0071
