ville,date_extraction,date_observation,temperature,temp_min,temp_max,humidite,pression,vent_vitesse,vent_direction,precipitation,description,latitude,longitude
Paris,2025-07-01,2021-01-01,1.7,0.1,3.9,80.3,1010.7,9.9,346.8,0.014,"Snow, Rain, Partially cloudy",48.8572,2.34141
Paris,2025-07-01,2021-01-02,1.6,-1.2,4.4,84.6,1014.8,8.0,313.0,0.014,"Rain, Partially cloudy",48.8572,2.34141
Paris,2025-07-01,2021-01-03,3.1,2.5,4.1,83.3,1014.1,15.3,34.1,0.011,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-01-04,2.9,2.5,3.5,82.1,1013.6,16.1,47.9,0.179,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-01-05,2.9,2.6,3.1,82.9,1014.7,15.0,34.7,0.007,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-01-06,3.3,2.7,4.1,83.8,1016.3,13.9,17.7,0.035,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-01-07,3.1,2.4,4.0,83.1,1017.2,12.2,320.5,0.063,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-01-08,2.6,1.0,4.3,74.0,1018.5,10.1,314.9,0.049,"Snow, Rain, Partially cloudy",48.8572,2.34141
Paris,2025-07-01,2021-01-09,1.2,-0.5,4.2,79.9,1023.3,18.8,39.7,0.0,Partially cloudy,48.8572,2.34141
Paris,2025-07-01,2021-01-10,1.2,-0.7,4.4,82.4,1025.6,14.7,22.5,0.027,"Snow, Rain, Partially cloudy",48.8572,2.34141
Paris,2025-07-01,2021-01-11,2.7,-0.1,4.9,83.1,1023.9,20.0,229.4,0.0,Partially cloudy,48.8572,2.34141
Paris,2025-07-01,2021-01-12,7.0,4.8,9.5,87.1,1016.9,20.4,263.1,5.196,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-01-13,7.9,5.6,10.0,89.8,1020.9,21.5,279.2,1.739,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-01-14,9.3,6.1,11.1,85.7,1016.8,25.8,282.4,1.438,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-01-15,2.1,0.8,3.8,73.9,1026.3,27.6,18.2,0.165,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-01-16,0.5,-0.3,3.1,80.7,1025.7,20.1,203.5,7.525,"Snow, Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-01-17,5.5,3.5,7.6,82.3,1023.7,18.4,306.0,1.782,"Rain, Partially cloudy",48.8572,2.34141
Paris,2025-07-01,2021-01-18,4.7,2.3,7.6,80.4,1026.9,15.5,230.4,0.0,Partially cloudy,48.8572,2.34141
Paris,2025-07-01,2021-01-19,5.7,4.7,7.0,80.7,1015.9,23.3,213.3,2.032,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-01-20,9.4,6.7,12.4,60.1,1000.4,30.9,195.8,0.007,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-01-21,8.8,5.8,12.6,80.4,993.0,39.3,216.1,12.093,"Rain, Partially cloudy",48.8572,2.34141
Paris,2025-07-01,2021-01-22,6.1,4.3,10.0,81.4,995.4,26.3,250.5,5.586,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-01-23,3.8,2.3,5.7,87.6,996.2,20.1,244.9,4.35,"Rain, Partially cloudy",48.8572,2.34141
Paris,2025-07-01,2021-01-24,1.3,-0.6,2.7,86.0,1000.9,16.1,228.7,2.405,"Snow, Rain, Partially cloudy",48.8572,2.34141
Paris,2025-07-01,2021-01-25,3.0,1.5,5.4,74.5,1008.0,23.5,307.2,0.0,Partially cloudy,48.8572,2.34141
Paris,2025-07-01,2021-01-26,2.4,0.6,4.3,71.3,1021.4,19.6,228.3,0.041,"Snow, Rain, Partially cloudy",48.8572,2.34141
Paris,2025-07-01,2021-01-27,5.1,2.1,8.4,91.3,1015.6,18.8,214.3,3.977,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-01-28,11.6,8.4,13.9,88.6,1008.5,23.9,247.4,8.599,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-01-29,10.6,7.7,12.1,76.3,1004.7,32.6,264.2,1.591,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-01-30,10.0,7.2,13.1,86.0,997.7,18.9,210.6,10.428,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-01-31,8.3,6.4,9.5,93.9,995.8,16.1,154.9,6.985,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-02-01,8.9,6.8,9.9,82.9,995.7,18.3,290.6,0.509,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-02-02,11.3,7.0,14.6,81.8,1002.3,21.4,223.3,2.278,"Rain, Overcast",48.8572,2.34141
Paris,2025-07-01,2021-02-03,10.8,7.4,12.8,81.0,1001.5,29.6,230.4,6.818,"Rain, Partially cloudy",48.8572,2.34141
Paris,2025-07-01,2021-02-04,8.3,5.5,11.3,84.0,1011.9,13.5,169.0,0.062,"Rain, Partially cloudy",48.8572,2.34141
Paris,2025-07-01,2021-02-05,9.3,7.0,11.6,84.2,1011.3,11.9,200.9,0.034,"Rain, Overcast",48.8572,2.34141
