ville,date_extraction,date_observation,temperature,temp_min,temp_max,humidite,pression,vent_vitesse,vent_direction,precipitation,description,latitude,longitude
Sydney,2025-07-04,2021-01-01,19.3,17.3,21.5,79.9,1020.2,3.7,154.8,4.526,"Rain, Overcast",-33.8696,151.207
Sydney,2025-07-04,2021-01-02,18.7,16.3,21.9,91.9,1014.9,2.3,174.4,5.948,"Rain, Overcast",-33.8696,151.207
Sydney,2025-07-04,2021-01-03,21.8,19.2,25.5,91.9,1008.8,3.6,42.6,2.476,"Rain, Partially cloudy",-33.8696,151.207
Sydney,2025-07-04,2021-01-04,22.2,19.6,27.5,88.5,1006.2,2.4,339.7,12.362,"Rain, Partially cloudy",-33.8696,151.207
Sydney,2025-07-04,2021-01-05,22.6,19.5,26.5,84.4,1007.8,3.3,130.3,0.088,"Rain, Partially cloudy",-33.8696,151.207
Sydney,2025-07-04,2021-01-06,21.2,19.7,24.0,81.6,1014.4,4.6,165.5,2.957,"Rain, Overcast",-33.8696,151.207
Sydney,2025-07-04,2021-01-07,19.9,18.7,22.6,74.8,1020.4,3.9,159.4,5.134,"Rain, Partially cloudy",-33.8696,151.207
Sydney,2025-07-04,2021-01-08,20.0,17.9,22.2,65.5,1022.8,21.9,153.7,0.069,"Rain, Partially cloudy",-33.8696,151.207
Sydney,2025-07-04,2021-01-09,21.5,16.9,26.2,68.6,1021.7,21.5,128.3,0.0,Partially cloudy,-33.8696,151.207
Sydney,2025-07-04,2021-01-10,22.0,16.9,27.3,75.7,1020.0,3.4,37.6,0.0,Clear,-33.8696,151.207
Sydney,2025-07-04,2021-01-11,23.0,18.1,28.0,73.3,1017.6,4.0,34.6,0.0,Clear,-33.8696,151.207
Sydney,2025-07-04,2021-01-12,23.9,19.1,28.9,71.5,1014.5,3.7,39.8,0.0,Partially cloudy,-33.8696,151.207
Sydney,2025-07-04,2021-01-13,24.6,20.9,29.4,74.3,1016.0,4.0,45.4,0.0,Partially cloudy,-33.8696,151.207
Sydney,2025-07-04,2021-01-14,24.8,21.0,31.1,77.6,1009.4,5.3,58.0,0.216,"Rain, Partially cloudy",-33.8696,151.207
Sydney,2025-07-04,2021-01-15,23.7,20.6,27.6,77.4,1005.3,4.4,101.5,0.005,"Rain, Partially cloudy",-33.8696,151.207
Sydney,2025-07-04,2021-01-16,21.7,17.7,26.7,36.7,1008.2,5.0,240.5,0.0,Clear,-33.8696,151.207
Sydney,2025-07-04,2021-01-17,21.0,16.1,25.8,61.2,1013.7,3.6,146.9,0.0,Partially cloudy,-33.8696,151.207
