ville,date_extraction,date_observation,temperature,temp_min,temp_max,humidite,pression,vent_vitesse,vent_direction,precipitation,description,latitude,longitude
Tokyo,2025-07-03,2021-01-01,5.3,-0.6,9.6,40.5,1012.9,16.3,357.1,0.0,Partially cloudy,35.6841,139.809
Tokyo,2025-07-03,2021-01-02,5.0,0.4,9.7,53.1,1015.7,27.0,14.8,0.0,Partially cloudy,35.6841,139.809
Tokyo,2025-07-03,2021-01-03,3.9,0.4,7.8,54.2,1021.8,10.7,22.8,0.0,Partially cloudy,35.6841,139.809
Tokyo,2025-07-03,2021-01-04,5.9,2.0,10.2,54.1,1023.1,12.3,306.0,0.0,Partially cloudy,35.6841,139.809
Tokyo,2025-07-03,2021-01-05,6.2,3.5,9.1,66.7,1018.8,17.5,12.7,0.0,Partially cloudy,35.6841,139.809
Tokyo,2025-07-03,2021-01-06,5.5,4.7,6.7,73.7,1013.6,24.2,19.7,0.0,Partially cloudy,35.6841,139.809
Tokyo,2025-07-03,2021-01-07,6.7,2.6,12.1,47.8,1003.6,46.0,251.9,0.0,Partially cloudy,35.6841,139.809
Tokyo,2025-07-03,2021-01-08,2.7,-1.1,5.9,40.5,1007.3,19.5,358.2,0.0,Partially cloudy,35.6841,139.809
Tokyo,2025-07-03,2021-01-09,2.9,-1.1,8.1,31.5,1009.0,14.8,273.4,0.0,Clear,35.6841,139.809
Tokyo,2025-07-03,2021-01-10,2.5,-1.9,7.8,43.4,1015.9,14.4,321.0,0.0,Clear,35.6841,139.809
Tokyo,2025-07-03,2021-01-11,2.3,-0.7,6.1,47.1,1022.6,11.0,349.8,0.0,Partially cloudy,35.6841,139.809
Tokyo,2025-07-03,2021-01-12,3.5,1.7,5.3,66.1,1016.0,14.5,330.7,0.144,"Rain, Partially cloudy",35.6841,139.809
Tokyo,2025-07-03,2021-01-13,5.6,-0.3,11.8,65.3,1014.1,10.9,263.0,0.0,Clear,35.6841,139.809
Tokyo,2025-07-03,2021-01-14,7.9,1.6,14.5,55.3,1017.4,12.8,294.0,0.0,Clear,35.6841,139.809
