date_extraction,temperature,temp_min,temp_max,humidite,pression,vent_vitesse,vent_direction,precipitation,description,ville_id
2021-01-01,2.50,0.80,4.00,67.80,1028.90,15.50,42.10,15.33,"Rain, Partially cloudy",4
2021-01-02,5.80,2.50,10.80,74.00,1012.40,25.50,310.20,2.38,"Rain, Partially cloudy",4
2021-01-03,2.50,1.50,3.30,80.70,1017.00,24.10,40.20,5.07,"Snow, Rain, Partially cloudy",4
2021-01-04,3.60,1.90,6.10,76.60,1014.60,17.30,7.60,0.85,"Snow, Rain, Partially cloudy",4
2021-01-05,3.80,3.00,5.00,68.70,1013.10,15.20,3.70,0.00,Overcast,4
2021-01-06,3.00,2.00,4.90,63.70,1015.00,28.80,311.20,0.00,Partially cloudy,4
2021-01-07,1.90,-0.30,5.40,54.90,1018.50,22.80,320.30,0.00,Clear,4
2021-01-08,0.20,-1.90,3.20,59.20,1015.30,20.50,349.60,0.00,Partially cloudy,4
2021-01-09,-0.20,-3.50,2.50,49.90,1012.20,25.90,355.90,0.00,Partially cloudy,4
2021-01-10,1.50,-1.30,5.30,50.50,1021.80,17.30,342.70,0.00,Clear,4
2021-01-11,0.50,-1.90,3.00,62.60,1024.90,10.70,343.90,0.00,Partially cloudy,4
2021-01-12,3.20,0.40,6.80,55.70,1019.50,12.00,313.50,0.00,Clear,4
2021-01-13,4.10,2.10,6.30,53.20,1016.00,19.90,255.00,0.00,Partially cloudy,4
2021-01-14,6.20,3.70,9.60,59.60,1010.40,9.80,0.50,0.00,Partially cloudy,4
2021-01-15,5.30,2.80,8.00,80.10,1013.20,21.50,65.60,7.93,"Rain, Partially cloudy",4
2021-01-16,6.00,3.60,8.20,76.50,998.10,29.90,315.10,21.61,"Rain, Partially cloudy",4
2021-01-17,4.70,2.30,7.00,53.00,1002.80,29.40,255.50,0.00,Partially cloudy,4
2021-01-18,5.10,3.50,7.10,54.80,1007.50,21.90,264.10,0.00,Partially cloudy,4
2021-01-19,3.40,1.90,6.00,53.60,1017.00,26.50,261.70,0.00,Partially cloudy,4
2021-01-20,1.80,-2.50,4.10,49.50,1014.30,28.40,294.50,0.47,"Snow, Rain, Partially cloudy",4
2021-01-21,1.30,-2.90,5.90,48.80,1008.50,21.30,236.80,0.00,Partially cloudy,4
2021-01-22,4.90,2.50,7.00,46.30,1006.00,23.70,271.00,0.00,Partially cloudy,4
2021-01-23,-1.00,-4.00,2.50,37.90,1017.10,31.80,301.60,0.00,Partially cloudy,4
2021-01-24,-2.60,-5.40,0.40,38.80,1021.10,31.80,303.70,0.00,Partially cloudy,4
2021-01-25,-0.80,-4.50,3.40,43.30,1019.50,20.00,329.30,0.00,Partially cloudy,4
2021-01-26,0.90,0.00,1.50,66.80,1014.80,17.40,54.30,2.66,"Snow, Rain, Overcast",4
2021-01-27,1.60,0.10,2.90,69.90,1015.70,21.80,319.70,0.18,"Snow, Rain, Overcast",4
2021-01-28,-1.80,-6.20,0.80,46.90,1018.50,35.80,315.50,0.00,Partially cloudy,4
2021-01-29,-6.20,-8.90,-3.50,41.70,1019.80,43.30,304.10,0.00,Clear,4
2021-01-30,-4.40,-8.00,0.40,44.00,1025.00,24.10,303.20,0.00,Clear,4
2021-01-31,-4.90,-6.50,-2.60,60.70,1025.30,27.50,35.80,1.95,"Snow, Partially cloudy",4
2021-02-01,-1.60,-5.40,0.60,90.20,1009.90,35.20,39.70,39.94,"Snow, Rain, Overcast",4
2021-02-02,0.00,-1.10,0.80,84.20,996.90,32.40,353.90,3.30,"Snow, Rain, Overcast",4
2021-02-03,0.40,-1.50,3.00,66.30,999.60,24.70,310.40,0.27,"Snow, Rain, Overcast",4
2021-02-04,2.40,-0.50,5.80,52.60,1009.80,22.30,290.50,0.00,Partially cloudy,4
2021-02-05,5.20,2.80,8.20,60.60,1006.10,21.30,223.90,1.84,"Rain, Partially cloudy",4
2021-02-06,3.90,0.80,6.80,38.10,1015.60,28.30,255.10,0.00,Partially cloudy,4
2021-02-07,0.90,-2.50,3.80,70.30,1014.90,24.60,6.60,8.91,"Snow, Rain, Partially cloudy",4
2021-02-08,-4.60,-8.10,-1.50,48.20,1027.90,22.60,286.30,0.27,Snow,4
2021-02-09,-1.20,-2.80,0.50,74.10,1023.90,15.80,12.70,0.07,"Snow, Rain, Partially cloudy",4
2021-02-10,-0.90,-3.30,1.80,55.20,1025.90,13.00,321.00,0.00,Partially cloudy,4
2021-02-11,-1.80,-3.40,0.10,66.00,1024.60,18.40,11.70,2.96,"Snow, Rain, Partially cloudy",4
2021-02-12,-3.40,-6.60,-1.20,39.10,1026.80,18.00,6.00,0.00,Partially cloudy,4
2021-02-13,-2.50,-3.90,-1.40,42.30,1025.40,18.40,35.50,0.00,Overcast,4
2021-02-14,0.10,-2.60,3.00,70.80,1023.40,16.00,15.00,0.00,Partially cloudy,4
2021-02-15,0.60,-0.50,1.50,73.70,1021.80,16.40,26.50,0.48,"Snow, Rain, Overcast",4
2021-02-16,4.90,1.10,10.80,74.80,1006.10,27.80,273.60,21.83,"Snow, Rain, Partially cloudy",4
2021-02-17,-1.70,-5.40,1.20,39.10,1026.20,27.70,311.40,0.00,Partially cloudy,4
2021-02-18,-2.50,-4.20,-1.30,69.30,1028.60,22.80,37.80,10.84,"Snow, Partially cloudy",4
2021-02-19,-0.80,-2.30,0.70,86.80,1019.80,24.10,28.00,3.36,"Snow, Rain, Overcast",4
2021-02-20,-0.40,-2.60,1.30,57.70,1019.40,23.90,299.90,0.00,Partially cloudy,4
2021-02-21,-0.90,-4.30,2.50,49.20,1031.30,17.70,285.20,0.00,Clear,4
2021-02-22,1.50,-0.20,3.70,70.60,1017.20,24.70,232.40,13.60,"Snow, Rain, Partially cloudy",4
